Date,AR Raw Price,SM Raw Price,AR Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,35.57,39.607,3.5715,3.67901,0.391521,4.03703,1.53697
2025-01-03,34.94,40.0213,3.55363,3.68941,0.429392,5.08125,1.53697
2025-01-06,36.01,40.2974,3.5838,3.69629,0.389906,4.2874,1.53697
2025-01-07,36.68,42.0923,3.60223,3.73987,0.405151,5.41234,1.53697
2025-01-08,37.86,42.0628,3.6339,3.73916,0.355782,4.20275,1.53697
2025-01-10,38.32,42.7531,3.64597,3.75544,0.353499,4.43311,1.53697
2025-01-13,38.3,43.118,3.64545,3.76394,0.362801,4.81802,1.53697
2025-01-14,38.59,43.3153,3.65299,3.76851,0.355771,4.72526,1.53697
2025-01-15,40.23,44.0747,3.69461,3.78588,0.309182,3.84466,1.53697
2025-01-16,40.57,43.5125,3.70303,3.77305,0.283411,2.94251,1.53697
2025-01-17,40.46,42.615,3.70031,3.75221,0.266742,2.15504,1.53697
2025-01-21,39.93,41.3034,3.68713,3.72094,0.255745,1.37335,1.53697
2025-01-22,40.74,41.2047,3.70721,3.71855,0.222488,0.464725,1.53697
2025-01-23,40.55,40.6524,3.70254,3.70506,0.216179,0.10244,1.53697
2025-01-24,40.15,39.7308,3.69262,3.68213,0.208482,0.419231,1.53697
2025-01-27,36.35,39.3344,3.59319,3.6721,0.351274,2.98436,1.53697
2025-01-28,37.22,39.3244,3.61685,3.67185,0.314669,2.10445,1.53697
2025-01-29,37.35,39.6911,3.62033,3.68113,0.318591,2.34113,1.53697
2025-01-30,37.85,39.2551,3.63363,3.67008,0.287106,1.40508,1.53697
2025-01-31,37.32,37.6199,3.61953,3.62753,0.266231,0.299858,1.53697
2025-02-03,38.33,37.0451,3.64623,3.61213,0.209791,1.28495,1.53697
2025-02-04,38.73,37.9271,3.65661,3.63567,0.217365,0.802917,1.53697
2025-02-05,39.6,37.5108,3.67883,3.62463,0.172187,2.08916,1.53697
2025-02-06,38.3,36.9063,3.64545,3.60838,0.207242,1.39369,1.53697
2025-02-07,37.85,37.0451,3.63363,3.61213,0.22916,0.804943,1.53697
2025-02-10,40.02,39.0569,3.68938,3.66502,0.19636,0.963135,1.53697
2025-02-11,40.02,40.2461,3.68938,3.69501,0.226355,0.226112,1.53697
2025-02-12,39.38,38.5613,3.67326,3.65225,0.208369,0.818657,1.53697
2025-02-13,40.15,38.6208,3.69262,3.65379,0.180148,1.52919,1.53697
2025-02-14,39.84,38.1748,3.68487,3.64218,0.180446,1.66516,1.53697
2025-02-18,39.74,38.2739,3.68236,3.64477,0.186902,1.46606,1.53697
2025-02-19,40.35,38.4821,3.69759,3.65019,0.168912,1.86794,1.53697
2025-02-20,39.51,36.7775,3.67655,3.60489,0.155939,2.73252,1.53697
2025-02-21,38.15,34.0422,3.64153,3.5276,0.132492,4.1078,1.53697
2025-02-24,37.9,33.517,3.63495,3.51205,0.127047,4.38305,1.53697
2025-02-25,37.35,32.7836,3.62033,3.48993,0.127392,4.56641,1.53697
2025-02-26,37.04,32.0799,3.612,3.46823,0.118505,4.96006,1.53697
2025-02-27,35.58,32.2286,3.57178,3.47285,0.184937,3.3514,1.53697
2025-02-28,36.7,32.4169,3.60278,3.47868,0.143127,4.2831,1.53697
2025-03-03,36.15,29.7411,3.58768,3.39253,0.0801848,6.40891,1.53697
2025-03-04,36.52,28.5915,3.59786,3.35311,0.025113,7.92851,1.53697
2025-03-05,36.38,27.2734,3.59402,3.30591,-0.0161807,9.10659,1.53697
2025-03-06,33.78,26.9067,3.51987,3.29238,0.0842505,6.87328,1.53697
2025-03-07,33.64,27.3428,3.51572,3.30845,0.10671,6.29722,1.53697
2025-03-10,34.69,27.1248,3.54645,3.30045,0.0514643,7.56525,1.53697
2025-03-11,35.86,28.8095,3.57962,3.36071,0.0607404,7.05048,1.53697
2025-03-12,36.01,29.5132,3.5838,3.38484,0.0784551,6.49684,1.53697
2025-03-13,36.37,28.5122,3.59374,3.35033,0.0286621,7.85779,1.53697
2025-03-14,37.57,29.7213,3.62621,3.39186,0.0203002,7.84873,1.53697
2025-03-17,38.9,29.9889,3.66099,3.40083,-0.024206,8.91115,1.53697
2025-03-18,39.87,30.0285,3.68562,3.40215,-0.0607405,9.84151,1.53697
2025-03-19,41.02,30.9204,3.71406,3.43142,-0.0751748,10.0996,1.53697
2025-03-20,40.97,30.6529,3.71284,3.42273,-0.0819918,10.3172,1.53697
2025-03-21,40.77,30.3952,3.70795,3.41428,-0.0829121,10.3748,1.53697
2025-03-24,41.21,31.525,3.71868,3.45078,-0.0629148,9.68503,1.53697
2025-03-25,41.42,30.2564,3.72376,3.40971,-0.111798,11.1636,1.53697
2025-03-26,40.97,30.5141,3.71284,3.41819,-0.0865284,10.4559,1.53697
2025-03-27,39.53,29.9789,3.67706,3.4005,-0.0492289,9.55106,1.53697
2025-03-28,39.69,29.1366,3.6811,3.37199,-0.0839388,10.5534,1.53697
2025-03-31,40.44,29.6816,3.69982,3.39053,-0.0941764,10.7584,1.53697
2025-04-01,40.92,29.5032,3.71162,3.3845,-0.11834,11.4168,1.53697
2025-04-02,42,30.2465,3.73767,3.40938,-0.133498,11.7535,1.53697
2025-04-03,38.79,25.103,3.65816,3.22299,-0.197691,13.687,1.53697
2025-04-04,33.46,22.0605,3.51035,3.09379,-0.0997059,11.3995,1.53697
2025-04-07,34.15,21.6146,3.53076,3.07337,-0.151501,12.5354,1.53697
2025-04-08,32.24,20.2073,3.47321,3.00604,-0.130365,12.0327,1.53697
2025-04-09,34.89,24.3994,3.5522,3.19456,-0.0632599,10.4906,1.53697
2025-04-10,31.92,21.0497,3.46323,3.04689,-0.0741922,10.8703,1.53697
2025-04-11,33.1,21.4758,3.49953,3.06693,-0.109942,11.6242,1.53697
2025-04-14,33.23,21.7632,3.50345,3.08022,-0.102673,11.4668,1.53697
2025-04-15,33.1,21.5254,3.49953,3.06923,-0.107638,11.5746,1.53697
2025-04-16,34.3,22.12,3.53515,3.09648,-0.135123,12.18,1.53697
2025-04-17,34.42,23.03,3.53864,3.1368,-0.100175,11.39,1.53697
2025-04-21,32.06,22.02,3.46761,3.09195,-0.0358527,10.04,1.53697
2025-04-22,32.83,22.88,3.49134,3.13026,-0.0340187,9.95,1.53697
2025-04-23,34.29,22.99,3.53485,3.13506,-0.0960977,11.3,1.53697
2025-04-24,34.54,23.17,3.54212,3.14286,-0.0994638,11.37,1.53697
2025-04-25,35.33,23.48,3.56473,3.15615,-0.120931,11.85,1.53697
2025-04-28,35.93,23.6,3.58157,3.16125,-0.141716,12.33,1.53697
2025-04-29,36.18,23.26,3.58851,3.14674,-0.166885,12.92,1.53697
2025-04-30,34.83,22.79,3.55048,3.12632,-0.128851,12.04,1.53697
2025-05-01,34.65,23.67,3.5453,3.16421,-0.0830008,10.98,1.53697
2025-05-02,35.76,22.82,3.57683,3.12764,-0.168036,12.94,1.53697
2025-05-05,35.49,21,3.56925,3.04452,-0.239502,14.49,1.53697
2025-05-06,35.5,21.52,3.56953,3.06898,-0.215475,13.98,1.53697
2025-05-07,36.71,21.2,3.60305,3.054,-0.28197,15.51,1.53697
2025-05-08,37.39,22.83,3.6214,3.12808,-0.236106,14.56,1.53697
2025-05-09,38.71,23.16,3.6561,3.14243,-0.27508,15.55,1.53697
2025-05-12,39.4,24.79,3.67377,3.21044,-0.234221,14.61,1.53697
2025-05-13,41.04,25.63,3.71455,3.24376,-0.263578,15.41,1.53697
2025-05-14,40.5,25.46,3.7013,3.23711,-0.249875,15.04,1.53697
2025-05-15,40.23,24.56,3.69461,3.20112,-0.275584,15.67,1.53697
2025-05-16,39.8,24.45,3.68387,3.19663,-0.263556,15.35,1.53697
2025-05-19,39.42,23.92,3.67427,3.17471,-0.270726,15.5,1.53697
2025-05-20,39.77,23.73,3.68311,3.16674,-0.292287,16.04,1.53697
2025-05-21,39.11,23.1,3.66638,3.13983,-0.293474,16.01,1.53697
2025-05-22,39.05,23.18,3.66484,3.14329,-0.287657,15.87,1.53697
2025-05-23,39.49,23.17,3.67605,3.14286,-0.30531,16.32,1.53697
2025-05-27,40.17,23.83,3.69312,3.17095,-0.303463,16.34,1.53697
2025-05-28,38.97,23.66,3.66279,3.16379,-0.264009,15.31,1.53697
2025-05-29,38.84,23.8,3.65945,3.16969,-0.252974,15.04,1.53697
2025-05-30,37.45,23.42,3.62301,3.15359,-0.213055,14.03,1.53697
2025-06-02,38.65,23.92,3.65455,3.17471,-0.240407,14.73,1.53697
2025-06-03,38.36,25.24,3.64702,3.22843,-0.175116,13.12,1.53697
2025-06-04,37.3,24.16,3.61899,3.1847,-0.175779,13.14,1.53697
2025-06-05,37.19,24.01,3.61604,3.17847,-0.177468,13.18,1.53697
2025-06-06,38.65,24.92,3.65455,3.21567,-0.199451,13.73,1.53697
2025-06-09,38.92,25.59,3.66151,3.2422,-0.18362,13.33,1.53697
2025-06-10,38.39,25.99,3.6478,3.25771,-0.147036,12.4,1.53697
2025-06-11,39.22,26.8,3.66919,3.2884,-0.149222,12.42,1.53697
2025-06-12,40.04,27.13,3.68988,3.30064,-0.168787,12.91,1.53697
2025-06-13,41.66,28.26,3.72954,3.34145,-0.18894,13.4,1.53697
