Date,DVN Raw Price,SM Raw Price,DVN Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,32.9309,39.607,3.49441,3.67901,0.324067,6.6761,2.23556
2025-01-03,33.4535,40.0213,3.51016,3.68941,0.299275,6.56776,2.23556
2025-01-06,33.276,40.2974,3.50484,3.69629,0.318042,7.02138,2.23556
2025-01-07,34.2028,42.0923,3.53231,3.73987,0.300208,7.88953,2.23556
2025-01-08,34.6564,42.0628,3.54548,3.73916,0.270056,7.4064,2.23556
2025-01-10,35.4846,42.7531,3.5691,3.75544,0.233539,7.26855,2.23556
2025-01-13,36.2536,43.118,3.59054,3.76394,0.194105,6.86442,2.23556
2025-01-14,36.6578,43.3153,3.60163,3.76851,0.173879,6.65742,2.23556
2025-01-15,37.8903,44.0747,3.63469,3.78588,0.117335,6.18437,2.23556
2025-01-16,37.8804,43.5125,3.63443,3.77305,0.10508,5.63208,2.23556
2025-01-17,37.417,42.615,3.62213,3.75221,0.111756,5.19801,2.23556
2025-01-21,36.2142,41.3034,3.58945,3.72094,0.153541,5.08919,2.23556
2025-01-22,35.948,41.2047,3.58207,3.71855,0.167644,5.25677,2.23556
2025-01-23,35.9381,40.6524,3.5818,3.70506,0.154763,4.71434,2.23556
2025-01-24,35.455,39.7308,3.56826,3.68213,0.162087,4.27579,2.23556
2025-01-27,34.8338,39.3344,3.55059,3.6721,0.191572,4.50053,2.23556
2025-01-28,34.3901,39.3244,3.53777,3.67185,0.219978,4.9343,2.23556
2025-01-29,34.5775,39.6911,3.5432,3.68113,0.217114,5.11365,2.23556
2025-01-30,34.5578,39.2551,3.54263,3.67008,0.207343,4.69732,2.23556
2025-01-31,33.6211,37.6199,3.51515,3.62753,0.226223,3.99876,2.23556
2025-02-03,33.276,37.0451,3.50484,3.61213,0.23389,3.76904,2.23556
2025-02-04,33.9366,37.9271,3.52449,3.63567,0.213476,3.99047,2.23556
2025-02-05,33.6605,37.5108,3.51633,3.62463,0.2207,3.8503,2.23556
2025-02-06,32.9506,36.9063,3.49501,3.60838,0.252105,3.95566,2.23556
2025-02-07,32.6844,37.0451,3.4869,3.61213,0.273991,4.36061,2.23556
2025-02-10,33.7789,39.0569,3.51983,3.66502,0.253245,5.27801,2.23556
2025-02-11,34.6268,40.2461,3.54463,3.69501,0.227815,5.61934,2.23556
2025-02-12,33.4929,38.5613,3.51133,3.65225,0.25948,5.06842,2.23556
2025-02-13,33.7394,38.6208,3.51867,3.65379,0.244629,4.88139,2.23556
2025-02-14,34.1535,38.1748,3.53087,3.64218,0.205744,4.02132,2.23556
2025-02-18,34.3901,38.2739,3.53777,3.64477,0.1929,3.88379,2.23556
2025-02-19,37.0424,38.4821,3.61206,3.65019,0.0322386,1.43969,2.23556
2025-02-20,38.0086,36.7775,3.63781,3.60489,-0.0706341,1.23113,2.23556
2025-02-21,36.9635,34.0422,3.60993,3.5276,-0.0855873,2.92129,2.23556
2025-02-24,36.786,33.517,3.60512,3.51205,-0.0903776,3.26907,2.23556
2025-02-25,35.3761,32.7836,3.56604,3.48993,-0.025132,2.59251,2.23556
2025-02-26,34.962,32.0799,3.55426,3.46823,-0.0205056,2.88205,2.23556
2025-02-27,35.3761,32.2286,3.56604,3.47285,-0.0422057,3.1475,2.23556
2025-02-28,35.7113,32.4169,3.57547,3.47868,-0.0574646,3.29443,2.23556
2025-03-03,33.9267,29.7411,3.5242,3.39253,-0.0290104,4.18565,2.23556
2025-03-04,33.769,28.5915,3.51954,3.35311,-0.0580119,5.17751,2.23556
2025-03-05,33.1873,27.2734,3.50217,3.30591,-0.0663629,5.91387,2.23556
2025-03-06,33.3943,26.9067,3.50839,3.29238,-0.0938029,6.48761,2.23556
2025-03-07,34.2225,27.3428,3.53288,3.30845,-0.132494,6.87976,2.23556
2025-03-10,33.7296,27.1248,3.51837,3.30045,-0.108062,6.60481,2.23556
2025-03-11,33.9267,28.8095,3.5242,3.36071,-0.0608344,5.11723,2.23556
2025-03-12,34.262,29.5132,3.53404,3.38484,-0.0586848,4.74882,2.23556
2025-03-13,33.3155,28.5122,3.50602,3.35033,-0.0305604,4.80325,2.23556
2025-03-14,34.3085,29.7213,3.53539,3.39186,-0.0546892,4.58719,2.23556
2025-03-17,34.8645,29.9889,3.55147,3.40083,-0.081671,4.87569,2.23556
2025-03-18,35.1227,30.0285,3.55885,3.40215,-0.0968441,5.09424,2.23556
2025-03-19,35.798,30.9204,3.57789,3.43142,-0.110145,4.87754,2.23556
2025-03-20,35.8774,30.6529,3.58011,3.42273,-0.123792,5.22457,2.23556
2025-03-21,35.8973,30.3952,3.58066,3.41428,-0.133471,5.5021,2.23556
2025-03-24,36.7016,31.525,3.60282,3.45078,-0.146514,5.17665,2.23556
2025-03-25,36.7115,30.2564,3.60309,3.40971,-0.188189,6.45511,2.23556
2025-03-26,37.208,30.5141,3.61653,3.41819,-0.209741,6.69394,2.23556
2025-03-27,36.6222,29.9789,3.60065,3.4005,-0.191954,6.64323,2.23556
2025-03-28,36.503,29.1366,3.59739,3.37199,-0.213169,7.36645,2.23556
2025-03-31,37.1385,29.6816,3.61466,3.39053,-0.233222,7.45691,2.23556
2025-04-01,37.3074,29.5032,3.61919,3.3845,-0.249388,7.80411,2.23556
2025-04-02,37.6549,30.2465,3.62846,3.40938,-0.245237,7.40837,2.23556
2025-04-03,32.9282,25.103,3.49433,3.22299,-0.131765,7.82515,2.23556
2025-04-04,29.1051,22.0605,3.37091,3.09379,0.0149404,7.04456,2.23556
2025-04-07,28.41,21.6146,3.34674,3.07337,0.0485566,6.79542,2.23556
2025-04-08,26.6126,20.2073,3.28139,3.00604,0.127337,6.40535,2.23556
2025-04-09,30.8528,24.3994,3.42923,3.19456,-0.0146562,6.4534,2.23556
2025-04-10,27.556,21.0497,3.31622,3.04689,0.0903046,6.50632,2.23556
2025-04-11,28.0326,21.4758,3.33337,3.06693,0.0720087,6.55682,2.23556
2025-04-14,28.5291,21.7632,3.35093,3.08022,0.0460536,6.76592,2.23556
2025-04-15,28.3305,21.5254,3.34394,3.06923,0.0506812,6.80517,2.23556
2025-04-16,29.0952,22.12,3.37057,3.09648,0.0183952,6.97516,2.23556
2025-04-17,30.0981,23.03,3.40446,3.1368,-0.0170529,7.0681,2.23556
2025-04-21,29.2739,22.02,3.3767,3.09195,0.000172159,7.25391,2.23556
2025-04-22,30.9819,22.88,3.4334,3.13026,-0.0882856,8.10188,2.23556
2025-04-23,30.8627,22.99,3.42955,3.13506,-0.0748745,7.87272,2.23556
2025-04-24,31.25,23.17,3.44202,3.14286,-0.0949534,8.07999,2.23556
2025-04-25,31.1308,23.48,3.4382,3.15615,-0.0731219,7.65083,2.23556
2025-04-28,31.3294,23.6,3.44456,3.16125,-0.0822407,7.72943,2.23556
2025-04-29,31.0812,23.26,3.4366,3.14674,-0.0789674,7.82118,2.23556
2025-04-30,30.1974,22.79,3.40776,3.12632,-0.0348924,7.4074,2.23556
2025-05-01,30.9422,23.67,3.43212,3.16421,-0.0514724,7.27216,2.23556
2025-05-02,31.2202,22.82,3.44107,3.12764,-0.108042,8.40021,2.23556
2025-05-05,30.4059,21,3.41464,3.04452,-0.132077,9.40594,2.23556
2025-05-06,30.3761,21.52,3.41366,3.06898,-0.105425,8.85615,2.23556
2025-05-07,30.0782,21.2,3.4038,3.054,-0.098374,8.87824,2.23556
2025-05-08,31.7068,22.83,3.45653,3.12808,-0.142177,8.87678,2.23556
2025-05-09,32.3026,23.16,3.47515,3.14243,-0.169445,9.14258,2.23556
2025-05-12,33.3155,24.79,3.50602,3.21044,-0.170452,8.52545,2.23556
2025-05-13,34.0503,25.63,3.52784,3.24376,-0.185902,8.42028,2.23556
2025-05-14,33.7226,25.46,3.51817,3.23711,-0.170938,8.26259,2.23556
2025-05-15,33.1665,24.56,3.50154,3.20112,-0.169756,8.6065,2.23556
2025-05-16,33.0275,24.45,3.49734,3.19663,-0.164854,8.57748,2.23556
2025-05-19,32.4615,23.92,3.48005,3.17471,-0.148125,8.54146,2.23556
2025-05-20,31.9451,23.73,3.46402,3.16674,-0.120253,8.2151,2.23556
2025-05-21,31.2798,23.1,3.44297,3.13983,-0.100109,8.17978,2.23556
2025-05-22,30.9223,23.18,3.43148,3.14329,-0.0709555,7.7423,2.23556
2025-05-23,30.9422,23.17,3.43212,3.14286,-0.0728225,7.77216,2.23556
2025-05-27,31.1308,23.83,3.4382,3.17095,-0.0583256,7.30083,2.23556
2025-05-28,30.6443,23.66,3.42245,3.16379,-0.0302673,6.98426,2.23556
2025-05-29,30.8925,23.8,3.43051,3.16969,-0.0424052,7.09251,2.23556
2025-05-30,30.0485,23.42,3.40281,3.15359,0.00343045,6.62845,2.23556
2025-06-02,30.9223,23.92,3.43148,3.17471,-0.0395305,7.0023,2.23556
2025-06-03,31.7862,25.24,3.45903,3.22843,-0.0474166,6.54622,2.23556
2025-06-04,31.3394,24.16,3.44487,3.1847,-0.0594976,7.17937,2.23556
2025-06-05,31.2003,24.01,3.44043,3.17847,-0.0557866,7.19034,2.23556
2025-06-06,32.0643,24.92,3.46774,3.21567,-0.0796461,7.14426,2.23556
2025-06-09,32.4217,25.59,3.47883,3.2422,-0.0779014,6.83175,2.23556
2025-06-10,33.236,25.99,3.50363,3.25771,-0.117844,7.24602,2.23556
2025-06-11,34.229,26.8,3.53307,3.2884,-0.152968,7.42902,2.23556
2025-06-12,34.09,27.13,3.529,3.30064,-0.131632,6.96,2.23556
2025-06-13,35.11,28.26,3.55849,3.34145,-0.156733,6.85,2.23556
