Date,ENB Raw Price,ET Raw Price,ENB Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,42.98,19.0293,3.76073,2.94598,0.0391139,23.9507,-0.327513
2025-01-03,43.09,18.9617,3.76329,2.94242,0.0363933,24.1283,-0.327513
2025-01-06,42.99,18.9424,3.76097,2.9414,0.0346134,24.0476,-0.327513
2025-01-07,43.64,18.8169,3.77597,2.93475,0.0328803,24.8231,-0.327513
2025-01-08,44.02,19.0486,3.78464,2.94699,0.0479587,24.9714,-0.327513
2025-01-10,43.48,18.7493,3.7723,2.93116,0.0280793,24.7307,-0.327513
2025-01-13,43.4,18.7976,3.77046,2.93373,0.0300475,24.6024,-0.327513
2025-01-14,44.07,19.2417,3.78578,2.95708,0.0584163,24.8283,-0.327513
2025-01-15,44.33,19.3479,3.79166,2.96258,0.0658471,24.9821,-0.327513
2025-01-16,44.03,19.5506,3.78487,2.97301,0.0740475,24.4794,-0.327513
2025-01-17,44.51,19.5893,3.79571,2.97498,0.079572,24.9207,-0.327513
2025-01-21,45.31,20.1878,3.81353,3.00508,0.115506,25.1222,-0.327513
2025-01-22,44.76,20.1975,3.80131,3.00556,0.111984,24.5625,-0.327513
2025-01-23,44.86,20.3327,3.80355,3.01223,0.119385,24.5273,-0.327513
2025-01-24,45.06,20.323,3.80799,3.01175,0.120367,24.737,-0.327513
2025-01-27,44.7,19.1258,3.79997,2.95104,0.0570258,25.5742,-0.327513
2025-01-28,44.46,19.6472,3.79459,2.97793,0.0821567,24.8128,-0.327513
2025-01-29,44.26,19.821,3.79008,2.98674,0.0894864,24.439,-0.327513
2025-01-30,44.5,20.352,3.79549,3.01318,0.117695,24.148,-0.327513
2025-01-31,43.24,19.7727,3.76677,2.9843,0.0794118,23.4673,-0.327513
2025-02-03,42.92,20.043,3.75934,2.99788,0.0905583,22.877,-0.327513
2025-02-04,43.72,20.0527,3.77781,2.99836,0.0970883,23.6673,-0.327513
2025-02-05,43.93,20.072,3.7826,2.99932,0.0996202,23.858,-0.327513
2025-02-06,44.2,19.6665,3.78872,2.97892,0.0812181,24.5335,-0.327513
2025-02-07,44.45,19.5537,3.79436,2.97316,0.0773117,24.8963,-0.327513
2025-02-10,44.81,19.7106,3.80243,2.98116,0.0879496,25.0994,-0.327513
2025-02-11,45.25,19.4359,3.8122,2.96712,0.0771144,25.8141,-0.327513
2025-02-12,45.1,19.2789,3.80888,2.95901,0.0679174,25.8211,-0.327513
2025-02-13,45.45,19.4457,3.81661,2.96763,0.0790635,26.0043,-0.327513
2025-02-14,43.07,19.6125,3.76283,2.97617,0.0699885,23.4575,-0.327513
2025-02-18,42.75,19.9167,3.75537,2.99156,0.0829348,22.8333,-0.327513
2025-02-19,42.31,19.7401,3.74502,2.98265,0.07064,22.5699,-0.327513
2025-02-20,41.98,19.5635,3.73719,2.97366,0.0590889,22.4165,-0.327513
2025-02-21,41.78,19.0239,3.73242,2.94569,0.0295545,22.7561,-0.327513
2025-02-24,41.54,18.6118,3.72666,2.9238,0.00576899,22.9282,-0.327513
2025-02-25,41.65,18.5627,3.7293,2.92116,0.00399594,23.0873,-0.327513
2025-02-26,41.75,18.7982,3.7317,2.93376,0.0173865,22.9518,-0.327513
2025-02-27,41.73,18.5824,3.73122,2.92221,0.00568095,23.1476,-0.327513
2025-02-28,42.73,18.9257,3.7549,2.94052,0.0317475,23.8043,-0.327513
2025-03-03,42.67,18.6707,3.7535,2.92695,0.0177171,23.9993,-0.327513
2025-03-04,41.55,18.1212,3.7269,2.89708,-0.0208631,23.4288,-0.327513
2025-03-05,42.49,17.8563,3.74927,2.88236,-0.0282623,24.6337,-0.327513
2025-03-06,41.6,17.3658,3.7281,2.8545,-0.0630523,24.2342,-0.327513
2025-03-07,42,17.1303,3.73767,2.84085,-0.0735704,24.8697,-0.327513
2025-03-10,42.68,16.9341,3.75373,2.82933,-0.079831,25.7459,-0.327513
2025-03-11,42.3,17.4933,3.74479,2.86182,-0.0502694,24.8067,-0.327513
2025-03-12,42.54,18.0526,3.75044,2.89329,-0.0169482,24.4874,-0.327513
2025-03-13,42.55,17.8269,3.75068,2.88071,-0.0294499,24.7231,-0.327513
2025-03-14,42.83,18.3763,3.75724,2.91106,0.00305272,24.4537,-0.327513
2025-03-17,43.5,18.5431,3.77276,2.9201,0.0171718,24.9569,-0.327513
2025-03-18,43.41,18.3273,3.77069,2.90839,0.00478505,25.0827,-0.327513
2025-03-19,43.75,18.5824,3.77849,2.92221,0.0211629,25.1676,-0.327513
2025-03-20,44.23,18.4941,3.7894,2.91745,0.0199734,25.7359,-0.327513
2025-03-21,43.87,18.2488,3.78123,2.9041,0.00394557,25.6212,-0.327513
2025-03-24,44.26,18.5235,3.79008,2.91904,0.0217857,25.7365,-0.327513
2025-03-25,44.42,18.5235,3.79369,2.91904,0.0229675,25.8965,-0.327513
2025-03-26,44.52,18.5725,3.79594,2.92168,0.0263489,25.9475,-0.327513
2025-03-27,44.36,18.5235,3.79234,2.91904,0.0225248,25.8365,-0.327513
2025-03-28,44.46,18.3567,3.79459,2.90999,0.0142174,26.1033,-0.327513
2025-03-31,44.31,18.239,3.79121,2.90356,0.00667626,26.071,-0.327513
2025-04-01,44.57,18.3763,3.79706,2.91106,0.016095,26.1937,-0.327513
2025-04-02,45.14,18.5725,3.80977,2.92168,0.0308784,26.5675,-0.327513
2025-04-03,45.34,17.3952,3.81419,2.85619,-0.0331635,27.9448,-0.327513
2025-04-04,43.35,15.8548,3.76931,2.76348,-0.140582,27.4951,-0.327513
2025-04-07,41.95,15.5703,3.73648,2.74537,-0.169442,26.3797,-0.327513
2025-04-08,41.09,15.3545,3.71576,2.73141,-0.190186,25.7355,-0.327513
2025-04-09,41.77,16.3552,3.73218,2.79455,-0.121671,25.4148,-0.327513
2025-04-10,41.82,15.6096,3.73337,2.74788,-0.167942,26.2104,-0.327513
2025-04-11,43.24,16.0216,3.76677,2.77394,-0.13095,27.2184,-0.327513
2025-04-14,44.02,16.5024,3.78464,2.8035,-0.0955295,27.5176,-0.327513
2025-04-15,44.28,16.7869,3.79053,2.8206,-0.0765063,27.4931,-0.327513
2025-04-16,44.57,16.6005,3.79706,2.80943,-0.0855351,27.9695,-0.327513
2025-04-17,45.37,16.9439,3.81485,2.82991,-0.059234,28.4261,-0.327513
2025-04-21,44.99,16.2473,3.80644,2.78793,-0.10397,28.7427,-0.327513
2025-04-22,45.64,16.6594,3.82078,2.81297,-0.0742255,28.9806,-0.327513
2025-04-23,45.61,16.7771,3.82013,2.82001,-0.0673985,28.8329,-0.327513
2025-04-24,46.36,17.2578,3.83644,2.84827,-0.0338047,29.1022,-0.327513
2025-04-25,46.19,17.1205,3.83276,2.84028,-0.0429988,29.0695,-0.327513
2025-04-28,46.64,16.9537,3.84246,2.83049,-0.0496134,29.6863,-0.327513
2025-04-29,46.64,16.7182,3.84246,2.8165,-0.0635996,29.9218,-0.327513
2025-04-30,46.69,16.2277,3.84353,2.78672,-0.0930305,30.4623,-0.327513
2025-05-01,46.48,16.2179,3.83902,2.78611,-0.0951117,30.2621,-0.327513
2025-05-02,46.86,16.3552,3.84716,2.79455,-0.0840112,30.5048,-0.327513
2025-05-05,46.59,15.8843,3.84139,2.76533,-0.115121,30.7057,-0.327513
2025-05-06,46.16,15.5115,3.83211,2.74158,-0.141909,30.6485,-0.327513
2025-05-07,46.69,16.5711,3.84353,2.80766,-0.0720906,30.1189,-0.327513
2025-05-08,45.78,17.042,3.82385,2.83568,-0.050514,28.738,-0.327513
2025-05-09,46.1,17.21,3.83081,2.84549,-0.0384231,28.89,-0.327513
2025-05-12,44.55,17.44,3.79661,2.85877,-0.0363483,27.11,-0.327513
2025-05-13,44.57,18,3.79706,2.89037,-0.00459604,26.57,-0.327513
2025-05-14,44.87,18.16,3.80377,2.89922,0.00645066,26.71,-0.327513
2025-05-15,44.92,17.97,3.80488,2.8887,-0.00370229,26.95,-0.327513
2025-05-16,44.85,17.95,3.80332,2.88759,-0.00532657,26.9,-0.327513
2025-05-19,44.94,18,3.80533,2.89037,-0.00188841,26.94,-0.327513
2025-05-20,45.61,18.14,3.82013,2.89812,0.010706,27.47,-0.327513
2025-05-21,45.57,17.76,3.81925,2.87695,-0.010752,27.81,-0.327513
2025-05-22,45.17,17.88,3.81043,2.88368,-0.00690553,27.29,-0.327513
2025-05-23,46.06,17.85,3.82994,2.882,-0.00219436,28.21,-0.327513
2025-05-27,46.04,17.95,3.82951,2.88759,0.00325002,28.09,-0.327513
2025-05-28,45.57,17.76,3.81925,2.87695,-0.010752,27.81,-0.327513
2025-05-29,45.85,17.68,3.82538,2.87243,-0.0132605,28.17,-0.327513
2025-05-30,46.48,17.48,3.83902,2.86106,-0.0201677,29,-0.327513
2025-06-02,47.16,17.48,3.85355,2.86106,-0.0154109,29.68,-0.327513
2025-06-03,47.07,17.9,3.85164,2.8848,0.00770685,29.17,-0.327513
2025-06-04,46.66,17.53,3.84289,2.86391,-0.0160454,29.13,-0.327513
2025-06-05,46.87,17.67,3.84738,2.87187,-0.00662012,29.2,-0.327513
2025-06-06,46.52,17.93,3.83988,2.88648,0.00553204,28.59,-0.327513
2025-06-09,45.82,17.71,3.82472,2.87413,-0.0117795,28.11,-0.327513
2025-06-10,45.85,17.99,3.82538,2.88982,0.00412149,27.86,-0.327513
2025-06-11,45.87,18.25,3.82581,2.90417,0.0186134,27.62,-0.327513
2025-06-12,46.81,18.45,3.8461,2.91506,0.0361565,28.36,-0.327513
2025-06-13,46.67,18.32,3.8431,2.90799,0.0281044,28.35,-0.327513
