Date,FANG Raw Price,SM Raw Price,FANG Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,164.468,39.607,5.10271,3.67901,0.0719549,124.861,2.22381
2025-01-03,168.59,40.0213,5.12747,3.68941,0.0273104,128.568,2.22381
2025-01-06,167.288,40.2974,5.11972,3.69629,0.0514238,126.991,2.22381
2025-01-07,170.029,42.0923,5.13597,3.73987,0.0588549,127.937,2.22381
2025-01-08,168.619,42.0628,5.12764,3.73916,0.0766722,126.557,2.22381
2025-01-10,172.347,42.7531,5.14951,3.75544,0.0443263,129.594,2.22381
2025-01-13,175.148,43.118,5.16563,3.76394,0.0169793,132.03,2.22381
2025-01-14,175.217,43.3153,5.16602,3.76851,0.0206668,131.901,2.22381
2025-01-15,177.07,44.0747,5.17655,3.78588,0.0146407,132.996,2.22381
2025-01-16,176.637,43.5125,5.17409,3.77305,0.00726018,133.124,2.22381
2025-01-17,177.682,42.615,5.17999,3.75221,-0.0267022,135.067,2.22381
2025-01-21,174.497,41.3034,5.16191,3.72094,-0.017739,133.193,2.22381
2025-01-22,175.128,41.2047,5.16552,3.71855,-0.0281584,133.923,2.22381
2025-01-23,174.181,40.6524,5.1601,3.70506,-0.0295987,133.529,2.22381
2025-01-24,170.858,39.7308,5.14083,3.68213,-0.00969245,131.127,2.22381
2025-01-27,169.221,39.3344,5.1312,3.6721,0.0016886,129.887,2.22381
2025-01-28,166.903,39.3244,5.11742,3.67185,0.0321018,127.579,2.22381
2025-01-29,168.491,39.6911,5.12688,3.68113,0.0203287,128.8,2.22381
2025-01-30,168.047,39.2551,5.12425,3.67008,0.0151465,128.792,2.22381
2025-01-31,162.081,37.6199,5.0881,3.62753,0.0529844,124.461,2.22381
2025-02-03,162.2,37.0451,5.08883,3.61213,0.0359643,125.155,2.22381
2025-02-04,163.994,37.9271,5.09983,3.63567,0.0350231,126.067,2.22381
2025-02-05,162.476,37.5108,5.09053,3.62463,0.0446771,124.965,2.22381
2025-02-06,157.811,36.9063,5.0614,3.60838,0.093206,120.905,2.22381
2025-02-07,155.938,37.0451,5.04946,3.61213,0.123519,118.893,2.22381
2025-02-10,159.419,39.0569,5.07153,3.66502,0.127306,120.362,2.22381
2025-02-11,159.764,40.2461,5.0737,3.69501,0.152491,119.518,2.22381
2025-02-12,153.305,38.5613,5.03243,3.65225,0.201504,114.743,2.22381
2025-02-13,154.005,38.6208,5.03698,3.65379,0.192911,115.384,2.22381
2025-02-14,154.813,38.1748,5.04222,3.64218,0.169651,116.639,2.22381
2025-02-18,154.587,38.2739,5.04075,3.64477,0.175504,116.313,2.22381
2025-02-19,158.038,38.4821,5.06284,3.65019,0.131822,119.556,2.22381
2025-02-20,159.843,36.7775,5.07419,3.60489,0.0612653,123.065,2.22381
2025-02-21,153.955,34.0422,5.03666,3.5276,0.0674334,119.913,2.22381
2025-02-24,153.078,33.517,5.03095,3.51205,0.0645973,119.561,2.22381
2025-02-25,149.814,32.7836,5.00939,3.48993,0.0904057,117.03,2.22381
2025-02-26,150.317,32.0799,5.01274,3.46823,0.0612558,118.237,2.22381
2025-02-27,153.433,32.2286,5.03326,3.47285,0.0202491,121.204,2.22381
2025-02-28,156.756,32.4169,5.05469,3.47868,-0.0215779,124.339,2.22381
2025-03-03,145.948,29.7411,4.98325,3.39253,0.0511417,116.207,2.22381
2025-03-04,143.029,28.5915,4.96305,3.35311,0.0566482,114.438,2.22381
2025-03-05,140.722,27.2734,4.94678,3.30591,0.0456217,113.448,2.22381
2025-03-06,138.934,26.9067,4.934,3.29238,0.0605154,112.027,2.22381
2025-03-07,139.143,27.3428,4.9355,3.30845,0.073256,111.8,2.22381
2025-03-10,139.609,27.1248,4.93885,3.30045,0.0578027,112.485,2.22381
2025-03-11,143.651,28.8095,4.96739,3.36071,0.0545938,114.842,2.22381
2025-03-12,145.538,29.5132,4.98044,3.38484,0.0497041,116.025,2.22381
2025-03-13,144.793,28.5122,4.97531,3.35033,0.0266103,116.281,2.22381
2025-03-14,149.163,29.7213,5.00504,3.39186,0.00202307,119.442,2.22381
2025-03-17,151.973,29.9889,5.0237,3.40083,-0.0305246,121.984,2.22381
2025-03-18,153.93,30.0285,5.0365,3.40215,-0.0576486,123.901,2.22381
2025-03-19,156.512,30.9204,5.05313,3.43142,-0.0653714,125.591,2.22381
2025-03-20,157.386,30.6529,5.0587,3.42273,-0.0864455,126.733,2.22381
2025-03-21,157.406,30.3952,5.05883,3.41428,-0.0951678,127.01,2.22381
2025-03-24,159.898,31.525,5.07454,3.45078,-0.0936122,128.373,2.22381
2025-03-25,160.484,30.2564,5.0782,3.40971,-0.142817,130.228,2.22381
2025-03-26,161.964,30.5141,5.08737,3.41819,-0.154747,131.45,2.22381
2025-03-27,159.124,29.9789,5.06968,3.4005,-0.133098,129.145,2.22381
2025-03-28,156.452,29.1366,5.05275,3.37199,-0.123948,127.316,2.22381
2025-03-31,158.776,29.6816,5.06749,3.39053,-0.138202,129.094,2.22381
2025-04-01,159.759,29.5032,5.07367,3.3845,-0.157957,130.256,2.22381
2025-04-02,160.375,30.2465,5.07751,3.40938,-0.141631,130.128,2.22381
2025-04-03,140.304,25.103,4.94381,3.22299,-0.030701,115.201,2.22381
2025-04-04,122.518,22.0605,4.80826,3.09379,0.141551,100.458,2.22381
2025-04-07,123.67,21.6146,4.81762,3.07337,0.100317,102.056,2.22381
2025-04-08,118.427,20.2073,4.77429,3.00604,0.129338,98.2193,2.22381
2025-04-09,133.998,24.3994,4.89783,3.19456,0.0431367,109.599,2.22381
2025-04-10,122.31,21.0497,4.80656,3.04689,0.0984345,101.26,2.22381
2025-04-11,128.119,21.4758,4.85296,3.06693,0.0152802,106.643,2.22381
2025-04-14,126.759,21.7632,4.84228,3.08022,0.0523155,104.995,2.22381
2025-04-15,126.262,21.5254,4.83836,3.06923,0.0500547,104.737,2.22381
2025-04-16,129.321,22.12,4.8623,3.09648,0.0240741,107.201,2.22381
2025-04-17,136.69,23.03,4.91771,3.1368,-0.0588455,113.66,2.22381
2025-04-21,131.436,22.02,4.87852,3.09195,-0.0165374,109.416,2.22381
2025-04-22,135.597,22.88,4.90969,3.13026,-0.0475363,112.717,2.22381
2025-04-23,134.604,22.99,4.90234,3.13506,-0.0263931,111.614,2.22381
2025-04-24,135.22,23.17,4.9069,3.14286,-0.0287436,112.05,2.22381
2025-04-25,135.816,23.48,4.9113,3.15615,-0.0252306,112.336,2.22381
2025-04-28,136.868,23.6,4.91902,3.16125,-0.0373031,113.268,2.22381
2025-04-29,135.706,23.26,4.91049,3.14674,-0.032855,112.446,2.22381
2025-04-30,131.098,22.79,4.87595,3.12632,0.0235537,108.308,2.22381
2025-05-01,133.899,23.67,4.89709,3.16421,0.0144353,110.229,2.22381
2025-05-02,135.865,22.82,4.91166,3.12764,-0.0545553,113.045,2.22381
2025-05-05,132.161,21,4.88402,3.04452,-0.0761983,111.161,2.22381
2025-05-06,131.069,21.52,4.87572,3.06898,-0.0332799,109.549,2.22381
2025-05-07,128.675,21.2,4.85729,3.054,-0.00727886,107.475,2.22381
2025-05-08,135.24,22.83,4.90705,3.12808,-0.0438529,112.41,2.22381
2025-05-09,136.938,23.16,4.91953,3.14243,-0.0572521,113.778,2.22381
2025-05-12,141.933,24.79,4.95536,3.21044,-0.0689148,117.143,2.22381
2025-05-13,145.161,25.63,4.97784,3.24376,-0.0855947,119.531,2.22381
2025-05-14,143.82,25.46,4.96856,3.23711,-0.0716156,118.36,2.22381
2025-05-15,141.95,24.56,4.95547,3.20112,-0.0785005,117.39,2.22381
2025-05-16,141.13,24.45,4.94968,3.19663,-0.070106,116.68,2.22381
2025-05-19,139.35,23.92,4.93699,3.17471,-0.0637952,115.43,2.22381
2025-05-20,138.35,23.73,4.92979,3.16674,-0.0557541,114.62,2.22381
2025-05-21,136.31,23.1,4.91493,3.13983,-0.0496266,113.21,2.22381
2025-05-22,136.29,23.18,4.91478,3.14329,-0.045843,113.11,2.22381
2025-05-23,135.86,23.17,4.91162,3.14286,-0.0392474,112.69,2.22381
2025-05-27,137.49,23.83,4.92355,3.17095,-0.0376822,113.66,2.22381
2025-05-28,136.28,23.66,4.91471,3.16379,-0.025184,112.62,2.22381
2025-05-29,137.81,23.8,4.92588,3.16969,-0.0441116,114.01,2.22381
2025-05-30,134.55,23.42,4.90194,3.15359,-0.00696875,111.13,2.22381
2025-06-02,137.59,23.92,4.92428,3.17471,-0.0355293,113.67,2.22381
2025-06-03,142.28,25.24,4.9578,3.22843,-0.0563535,117.04,2.22381
2025-06-04,139.35,24.16,4.93699,3.1847,-0.0538117,115.19,2.22381
2025-06-05,137.45,24.01,4.92326,3.17847,-0.0295099,113.44,2.22381
2025-06-06,140.56,24.92,4.94563,3.21567,-0.0420657,115.64,2.22381
2025-06-09,142.13,25.59,4.95674,3.2422,-0.0402362,116.54,2.22381
2025-06-10,145.57,25.99,4.98066,3.25771,-0.0779084,119.58,2.22381
2025-06-11,148.92,26.8,5.00341,3.2884,-0.0978147,122.12,2.22381
2025-06-12,149.33,27.13,5.00616,3.30064,-0.0916906,122.2,2.22381
2025-06-13,154.91,28.26,5.04284,3.34145,-0.132465,126.65,2.22381
