Date,VLO Raw Price,APA Raw Price,VLO Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,121.125,22.7603,4.79682,3.12502,0.23599,98.3645,1.55501
2025-01-03,122.216,22.7992,4.80579,3.12673,0.223746,99.4173,1.55501
2025-01-06,120.112,23.0328,4.78842,3.13692,0.260955,97.0788,1.55501
2025-01-07,121.951,23.0328,4.80362,3.13692,0.237324,98.9181,1.55501
2025-01-08,123.131,23.0523,4.81325,3.13777,0.223192,100.079,1.55501
2025-01-10,125.059,23.0523,4.82879,3.13777,0.199035,102.007,1.55501
2025-01-13,131.157,23.7337,4.8764,3.1669,0.154133,107.423,1.55501
2025-01-14,131.855,24.1913,4.88171,3.18599,0.164971,107.664,1.55501
2025-01-15,135.642,24.7754,4.91002,3.20985,0.1448,110.867,1.55501
2025-01-16,137.078,24.4833,4.92055,3.19799,0.116567,112.595,1.55501
2025-01-17,138.73,23.7532,4.93253,3.16772,0.0676596,114.977,1.55501
2025-01-21,137.235,23.0718,4.9217,3.13861,0.0553999,114.164,1.55501
2025-01-22,132.859,22.9832,4.88928,3.13476,0.101956,109.875,1.55501
2025-01-23,138.396,23.1308,4.93012,3.14117,0.04486,115.265,1.55501
2025-01-24,137.334,22.9439,4.92241,3.13305,0.0487266,114.39,1.55501
2025-01-27,138.986,23.0029,4.93437,3.13562,0.0326984,115.983,1.55501
2025-01-28,135.858,22.9635,4.91161,3.13391,0.0663793,112.895,1.55501
2025-01-29,137.186,22.8061,4.92134,3.12703,0.0443767,114.38,1.55501
2025-01-30,134.281,22.6192,4.89993,3.1188,0.0694321,111.662,1.55501
2025-01-31,131.881,21.5763,4.8819,3.0716,0.0502679,110.305,1.55501
2025-02-03,135.034,21.1237,4.90553,3.0504,-0.00767317,113.911,1.55501
2025-02-04,141.787,22.0289,4.95433,3.09235,-0.0415955,119.758,1.55501
2025-02-05,139.358,21.8321,4.93704,3.08338,-0.0236935,117.526,1.55501
2025-02-06,133.16,21.291,4.89155,3.05828,0.0219463,111.869,1.55501
2025-02-07,131.961,21.3205,4.8825,3.05967,0.0374063,110.64,1.55501
2025-02-10,135.659,22.6192,4.91015,3.1188,0.0535523,113.04,1.55501
2025-02-11,135.738,22.934,4.91073,3.13262,0.0664663,112.804,1.55501
2025-02-12,129.809,22.0092,4.86606,3.09146,0.0947631,107.8,1.55501
2025-02-13,129.888,22.1273,4.86667,3.09681,0.099163,107.761,1.55501
2025-02-14,134.172,22.7668,4.89912,3.1253,0.077199,111.405,1.55501
2025-02-18,137.028,23.1898,4.92018,3.14371,0.0628608,113.838,1.55501
2025-02-19,135.996,23.2095,4.91263,3.14456,0.0754561,112.787,1.55501
2025-02-20,137.97,23.239,4.92703,3.14583,0.0543264,114.731,1.55501
2025-02-21,133.607,22.4224,4.8949,3.11006,0.0685226,111.184,1.55501
2025-02-24,133.924,22.5011,4.89727,3.11357,0.0683381,111.423,1.55501
2025-02-25,132.536,22.019,4.88685,3.09191,0.0628825,110.517,1.55501
2025-02-26,129.065,21.655,4.86032,3.07524,0.0874737,107.41,1.55501
2025-02-27,128.54,20.0906,4.85624,3.00025,0.0188364,108.449,1.55501
2025-02-28,129.63,20.3661,4.86469,3.01387,0.0193158,109.264,1.55501
2025-03-03,127.32,18.5853,4.8467,2.92237,-0.0442205,108.735,1.55501
2025-03-04,126.537,18.2705,4.84053,2.90529,-0.0517089,108.266,1.55501
2025-03-05,120.736,18.241,4.7936,2.90367,0.019646,102.495,1.55501
2025-03-06,124.94,18.4476,4.82783,2.91493,-0.0223188,106.492,1.55501
2025-03-07,125.783,18.5361,4.83456,2.91972,-0.0279852,107.247,1.55501
2025-03-10,125.733,18.7132,4.83416,2.92923,-0.0178634,107.02,1.55501
2025-03-11,121.995,18.8903,4.80398,2.93865,0.0384904,103.105,1.55501
2025-03-12,124.127,19.3331,4.8213,2.96182,0.0347178,104.794,1.55501
2025-03-13,124.742,18.7329,4.82625,2.93028,-0.00450031,106.009,1.55501
2025-03-14,128.054,19.2937,4.85245,2.95978,-0.0157498,108.76,1.55501
2025-03-17,131.832,19.7069,4.88153,2.98097,-0.0397716,112.125,1.55501
2025-03-18,130.919,19.8447,4.87458,2.98794,-0.0220085,111.075,1.55501
2025-03-19,132.714,20.4744,4.8882,3.01917,-0.011944,112.24,1.55501
2025-03-20,133.696,20.2382,4.89557,3.00757,-0.035004,113.458,1.55501
2025-03-21,130.404,20.2776,4.87064,3.00952,0.00570809,110.126,1.55501
2025-03-24,130.84,20.5039,4.87398,3.02061,0.0116119,110.336,1.55501
2025-03-25,130.89,20.5531,4.87435,3.02301,0.013419,110.337,1.55501
2025-03-26,133.388,20.7597,4.89327,3.03301,-0.00598532,112.629,1.55501
2025-03-27,132.109,20.8581,4.88363,3.03774,0.0137269,111.251,1.55501
2025-03-28,130.374,20.5826,4.87041,3.02445,0.0209921,109.791,1.55501
2025-03-31,130.959,20.681,4.87488,3.02921,0.0187984,110.278,1.55501
2025-04-01,132.615,20.7892,4.88745,3.03443,0.00447816,111.826,1.55501
2025-04-02,132.496,20.8974,4.88655,3.03963,0.0110666,111.599,1.55501
2025-04-03,113.329,17.4539,4.73029,2.85956,0.0739892,95.8747,1.55501
2025-04-04,103.809,14.9352,4.64256,2.70372,0.0545755,88.8742,1.55501
2025-04-07,105.773,14.7187,4.66129,2.68912,0.0108415,91.054,1.55501
2025-04-08,104.295,13.8037,4.64723,2.62494,-0.0314666,90.4915,1.55501
2025-04-09,114.925,16.4405,4.74428,2.79975,-0.00757787,98.4846,1.55501
2025-04-10,108.093,14.3645,4.68299,2.66476,-0.0472601,93.7285,1.55501
2025-04-11,109.769,14.7974,4.69838,2.69445,-0.0414909,94.9714,1.55501
2025-04-14,109.402,14.9548,4.69503,2.70503,-0.0257027,94.4471,1.55501
2025-04-15,106.645,14.6498,4.66951,2.68443,-0.00662444,91.9954,1.55501
2025-04-16,106.229,15.1221,4.6656,2.71616,0.0311878,91.1067,1.55501
2025-04-17,109.134,15.8502,4.69258,2.76318,0.0362522,93.284,1.55501
2025-04-21,107.924,15.25,4.68143,2.72458,0.0149853,92.6744,1.55501
2025-04-22,111.514,15.86,4.71415,2.7638,0.00332819,95.654,1.55501
2025-04-23,113.537,15.65,4.73213,2.75047,-0.0379559,97.8868,1.55501
2025-04-24,112.406,16.26,4.72212,2.78871,0.0158411,96.1464,1.55501
2025-04-25,112.912,16.35,4.72661,2.79423,0.0143806,96.5621,1.55501
2025-04-28,113.785,16.55,4.73431,2.80639,0.0145678,97.2347,1.55501
2025-04-29,114.548,16.24,4.741,2.78748,-0.0147405,98.3082,1.55501
2025-04-30,115.113,15.54,4.74592,2.74342,-0.0664544,99.5734,1.55501
2025-05-01,113.914,16.22,4.73544,2.78625,-0.0073339,97.6936,1.55501
2025-05-02,117.93,16.46,4.77009,2.80093,-0.0465222,101.47,1.55501
2025-05-05,118.336,15.5,4.77353,2.74084,-0.111967,102.836,1.55501
2025-05-06,116.016,15.73,4.75373,2.75557,-0.0664439,100.286,1.55501
2025-05-07,115.966,15.48,4.7533,2.73955,-0.0818,100.486,1.55501
2025-05-08,120.706,16.18,4.79336,2.78378,-0.099865,104.526,1.55501
2025-05-09,121.896,16.72,4.80317,2.81661,-0.0822894,105.176,1.55501
2025-05-12,129.392,17.71,4.86285,2.87413,-0.117571,111.682,1.55501
2025-05-13,133.973,18.46,4.89764,2.91561,-0.130197,115.513,1.55501
2025-05-14,133.19,18.17,4.89178,2.89977,-0.136912,115.02,1.55501
2025-05-15,134.231,17.76,4.89956,2.87695,-0.171844,116.471,1.55501
2025-05-16,134.598,17.59,4.90229,2.86733,-0.185706,117.008,1.55501
2025-05-19,133.2,17.32,4.89185,2.85186,-0.184938,115.88,1.55501
2025-05-20,132.21,17.25,4.88439,2.84781,-0.177387,114.96,1.55501
2025-05-21,127.8,16.71,4.85047,2.81601,-0.156438,111.09,1.55501
2025-05-22,128.72,16.74,4.85764,2.8178,-0.165798,111.98,1.55501
2025-05-23,128.55,16.85,4.85632,2.82435,-0.157194,111.7,1.55501
2025-05-27,130.71,17.31,4.87298,2.85128,-0.156172,113.4,1.55501
2025-05-28,126.93,17.18,4.84364,2.84375,-0.118078,109.75,1.55501
2025-05-29,129.16,17.34,4.86105,2.85302,-0.13589,111.82,1.55501
2025-05-30,128.97,17.01,4.85958,2.8338,-0.152815,111.96,1.55501
2025-06-02,128.3,17.33,4.85437,2.85244,-0.126078,110.97,1.55501
2025-06-03,130.95,18.27,4.87482,2.90526,-0.105048,112.68,1.55501
2025-06-04,126.54,17.92,4.84056,2.88592,-0.071121,108.62,1.55501
2025-06-05,126.88,17.85,4.84324,2.882,-0.0792073,109.03,1.55501
2025-06-06,128.35,18.5,4.85476,2.91777,-0.0613526,109.85,1.55501
2025-06-09,128.26,18.63,4.85406,2.92477,-0.0532593,109.63,1.55501
2025-06-10,131.93,19.28,4.88227,2.95907,-0.062834,112.65,1.55501
2025-06-11,134.06,19.61,4.89829,2.97604,-0.0707677,114.45,1.55501
2025-06-12,133.5,19.95,4.8941,2.99323,-0.047069,113.55,1.55501
2025-06-13,134.11,21.01,4.89866,3.045,-0.00238876,113.1,1.55501
