Date,VLO Raw Price,FANG Raw Price,VLO Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,121.125,164.468,4.79682,5.10271,0.144253,43.3429,0.953922
2025-01-03,122.216,168.59,4.80579,5.12747,0.160448,46.3733,0.953922
2025-01-06,120.112,167.288,4.78842,5.11972,0.169268,47.1763,0.953922
2025-01-07,121.951,170.029,4.80362,5.13597,0.171027,48.0786,0.953922
2025-01-08,123.131,168.619,4.81325,5.12764,0.15351,45.4881,0.953922
2025-01-10,125.059,172.347,4.82879,5.14951,0.160557,47.2879,0.953922
2025-01-13,131.157,175.148,4.8764,5.16563,0.13126,43.9905,0.953922
2025-01-14,131.855,175.217,4.88171,5.16602,0.126589,43.3613,0.953922
2025-01-15,135.642,177.07,4.91002,5.17655,0.110105,41.4285,0.953922
2025-01-16,137.078,176.637,4.92055,5.17409,0.0976059,39.5586,0.953922
2025-01-17,138.73,177.682,4.93253,5.17999,0.092076,38.9515,0.953922
2025-01-21,137.235,174.497,4.9217,5.16191,0.0843225,37.2613,0.953922
2025-01-22,132.859,175.128,4.88928,5.16552,0.118852,42.2693,0.953922
2025-01-23,138.396,174.181,4.93012,5.1601,0.0744792,35.7852,0.953922
2025-01-24,137.334,170.858,4.92241,5.14083,0.0625652,33.5241,0.953922
2025-01-27,138.986,169.221,4.93437,5.1312,0.0415293,30.2348,0.953922
2025-01-28,135.858,166.903,4.91161,5.11742,0.0494519,31.045,0.953922
2025-01-29,137.186,168.491,4.92134,5.12688,0.0496419,31.3049,0.953922
2025-01-30,134.281,168.047,4.89993,5.12425,0.0674239,33.7665,0.953922
2025-01-31,131.881,162.081,4.8819,5.0881,0.0484767,30.2,0.953922
2025-02-03,135.034,162.2,4.90553,5.08883,0.026667,27.1651,0.953922
2025-02-04,141.787,163.994,4.95433,5.09983,-0.00887734,22.2072,0.953922
2025-02-05,139.358,162.476,4.93704,5.09053,-0.00169469,23.1179,0.953922
2025-02-06,133.16,157.811,4.89155,5.0614,0.0125712,24.6509,0.953922
2025-02-07,131.961,155.938,4.8825,5.04946,0.00926158,23.9771,0.953922
2025-02-10,135.659,159.419,4.91015,5.07153,0.00497047,23.7595,0.953922
2025-02-11,135.738,159.764,4.91073,5.0737,0.00657544,24.0253,0.953922
2025-02-12,129.809,153.305,4.86606,5.03243,0.00791532,23.4959,0.953922
2025-02-13,129.888,154.005,4.86667,5.03698,0.0118892,24.1167,0.953922
2025-02-14,134.172,154.813,4.89912,5.04222,-0.013826,20.6417,0.953922
2025-02-18,137.028,154.587,4.92018,5.04075,-0.0353829,17.5591,0.953922
2025-02-19,135.996,158.038,4.91263,5.06284,-0.00609513,22.0418,0.953922
2025-02-20,137.97,159.843,4.92703,5.07419,-0.00848257,21.8732,0.953922
2025-02-21,133.607,153.955,4.8949,5.03666,-0.0153564,20.3489,0.953922
2025-02-24,133.924,153.078,4.89727,5.03095,-0.0233363,19.154,0.953922
2025-02-25,132.536,149.814,4.88685,5.00939,-0.0349505,17.2781,0.953922
2025-02-26,129.065,150.317,4.86032,5.01274,-0.00628687,21.2516,0.953922
2025-02-27,128.54,153.433,4.85624,5.03326,0.0181242,24.8933,0.953922
2025-02-28,129.63,156.756,4.86469,5.05469,0.031492,27.1258,0.953922
2025-03-03,127.32,145.948,4.8467,4.98325,-0.0227932,18.6282,0.953922
2025-03-04,126.537,143.029,4.84053,4.96305,-0.0371088,16.4926,0.953922
2025-03-05,120.736,140.722,4.7936,4.94678,-0.00860933,19.9858,0.953922
2025-03-06,124.94,138.934,4.82783,4.934,-0.0540463,13.9939,0.953922
2025-03-07,125.783,139.143,4.83456,4.9355,-0.0589599,13.3596,0.953922
2025-03-10,125.733,139.609,4.83416,4.93885,-0.0552349,13.8759,0.953922
2025-03-11,121.995,143.651,4.80398,4.96739,0.00209744,21.6561,0.953922
2025-03-12,124.127,145.538,4.8213,4.98044,-0.00137906,21.4111,0.953922
2025-03-13,124.742,144.793,4.82625,4.97531,-0.011223,20.0515,0.953922
2025-03-14,128.054,149.163,4.85245,5.00504,-0.00648742,21.1092,0.953922
2025-03-17,131.832,151.973,4.88153,5.0237,-0.0155573,20.1417,0.953922
2025-03-18,130.919,153.93,4.87458,5.0365,0.00385782,23.0104,0.953922
2025-03-19,132.714,156.512,4.8882,5.05313,0.00750442,23.7976,0.953922
2025-03-20,133.696,157.386,4.89557,5.0587,0.00604239,23.6899,0.953922
2025-03-21,130.404,157.406,4.87064,5.05883,0.0299517,27.0018,0.953922
2025-03-24,130.84,159.898,4.87398,5.07454,0.0424773,29.0582,0.953922
2025-03-25,130.89,160.484,4.87435,5.0782,0.0457736,29.5945,0.953922
2025-03-26,133.388,161.964,4.89327,5.08737,0.036912,28.5754,0.953922
2025-03-27,132.109,159.124,4.88363,5.06968,0.028412,27.0143,0.953922
2025-03-28,130.374,156.452,4.87041,5.05275,0.0240942,26.0782,0.953922
2025-03-31,130.959,158.776,4.87488,5.06749,0.0345673,27.817,0.953922
2025-04-01,132.615,159.759,4.88745,5.07367,0.0287537,27.1442,0.953922
2025-04-02,132.496,160.375,4.88655,5.07751,0.0334567,27.8789,0.953922
2025-04-03,113.329,140.304,4.73029,4.94381,0.0488178,26.9759,0.953922
2025-04-04,103.809,122.518,4.64256,4.80826,-0.00304518,18.7088,0.953922
2025-04-07,105.773,123.67,4.66129,4.81762,-0.0115595,17.8974,0.953922
2025-04-08,104.295,118.427,4.64723,4.77429,-0.0414654,14.1313,0.953922
2025-04-09,114.925,133.998,4.74428,4.89783,-0.010514,19.0732,0.953922
2025-04-10,108.093,122.31,4.68299,4.80656,-0.0433216,14.2166,0.953922
2025-04-11,109.769,128.119,4.69838,4.85296,-0.0115914,18.3504,0.953922
2025-04-14,109.402,126.759,4.69503,4.84228,-0.0190738,17.3567,0.953922
2025-04-15,106.645,126.262,4.66951,4.83836,0.0013453,19.6168,0.953922
2025-04-16,106.229,129.321,4.6656,4.8623,0.0290144,23.092,0.953922
2025-04-17,109.134,136.69,4.69258,4.91771,0.0586913,27.5554,0.953922
2025-04-21,107.924,131.436,4.68143,4.87852,0.0301328,23.5117,0.953922
2025-04-22,111.514,135.597,4.71415,4.90969,0.0300894,24.0832,0.953922
2025-04-23,113.537,134.604,4.73213,4.90234,0.00558964,21.0673,0.953922
2025-04-24,112.406,135.22,4.72212,4.9069,0.0196988,22.8134,0.953922
2025-04-25,112.912,135.816,4.72661,4.9113,0.0198135,22.9035,0.953922
2025-04-28,113.785,136.868,4.73431,4.91902,0.020191,23.0836,0.953922
2025-04-29,114.548,135.706,4.741,4.91049,0.00528566,21.1582,0.953922
2025-04-30,115.113,131.098,4.74592,4.87595,-0.0339549,15.985,0.953922
2025-05-01,113.914,133.899,4.73544,4.89709,-0.00282288,19.9854,0.953922
2025-05-02,117.93,135.865,4.77009,4.91166,-0.0212951,17.9358,0.953922
2025-05-05,118.336,132.161,4.77353,4.88402,-0.0522205,13.825,0.953922
2025-05-06,116.016,131.069,4.75373,4.87572,-0.0416306,15.0529,0.953922
2025-05-07,115.966,128.675,4.7533,4.85729,-0.0596518,12.7091,0.953922
2025-05-08,120.706,135.24,4.79336,4.90705,-0.0481088,14.5337,0.953922
2025-05-09,121.896,136.938,4.80317,4.91953,-0.0449876,15.042,0.953922
2025-05-12,129.392,141.933,4.86285,4.95536,-0.0660903,12.5408,0.953922
2025-05-13,133.973,145.161,4.89764,4.97784,-0.0767945,11.1872,0.953922
2025-05-14,133.19,143.82,4.89178,4.96856,-0.0804792,10.6299,0.953922
2025-05-15,134.231,141.95,4.89956,4.95547,-0.100995,7.71875,0.953922
2025-05-16,134.598,141.13,4.90229,4.94968,-0.109392,6.53186,0.953922
2025-05-19,133.2,139.35,4.89185,4.93699,-0.112124,6.15001,0.953922
2025-05-20,132.21,138.35,4.88439,4.92979,-0.11221,6.14,0.953922
2025-05-21,127.8,136.31,4.85047,4.91493,-0.0947028,8.50999,0.953922
2025-05-22,128.72,136.29,4.85764,4.91478,-0.101692,7.56999,0.953922
2025-05-23,128.55,135.86,4.85632,4.91162,-0.103591,7.31,0.953922
2025-05-27,130.71,137.49,4.87298,4.92355,-0.10756,6.78,0.953922
2025-05-28,126.93,136.28,4.84364,4.91471,-0.0884069,9.35,0.953922
2025-05-29,129.16,137.81,4.86105,4.92588,-0.0938563,8.64999,0.953922
2025-05-30,128.97,134.55,4.85958,4.90194,-0.116392,5.58,0.953922
2025-06-02,128.3,137.59,4.85437,4.92428,-0.0890811,9.28999,0.953922
2025-06-03,130.95,142.28,4.87482,4.9578,-0.0750646,11.33,0.953922
2025-06-04,126.54,139.35,4.84056,4.93699,-0.0631942,12.81,0.953922
2025-06-05,126.88,137.45,4.84324,4.92326,-0.0794824,10.57,0.953922
2025-06-06,128.35,140.56,4.85476,4.94563,-0.0680966,12.21,0.953922
2025-06-09,128.26,142.13,4.85406,4.95674,-0.0563196,13.87,0.953922
2025-06-10,131.93,145.57,4.88227,4.98066,-0.0593167,13.64,0.953922
2025-06-11,134.06,148.92,4.89829,5.00341,-0.0518426,14.86,0.953922
2025-06-12,133.5,149.33,4.8941,5.00616,-0.0451002,15.83,0.953922
2025-06-13,134.11,154.91,4.89866,5.04284,-0.0127633,20.8,0.953922
