Date,VLO Raw Price,PSX Raw Price,VLO Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,121.125,112.306,4.79682,4.72123,0.0136667,8.81862,0.988157
2025-01-03,122.216,113.955,4.80579,4.73581,0.0193771,8.26127,0.988157
2025-01-06,120.112,113.052,4.78842,4.72785,0.0285869,7.05954,0.988157
2025-01-07,121.951,113.072,4.80362,4.72802,0.0137439,8.87914,0.988157
2025-01-08,123.131,114.112,4.81325,4.73718,0.0133863,9.01891,0.988157
2025-01-10,125.059,111.835,4.82879,4.71702,-0.0221235,13.224,0.988157
2025-01-13,131.157,113.847,4.8764,4.73486,-0.0513358,17.3098,0.988157
2025-01-14,131.855,115.114,4.88171,4.74592,-0.045522,16.7418,0.988157
2025-01-15,135.642,116.812,4.91002,4.76056,-0.058856,18.8303,0.988157
2025-01-16,137.078,117.43,4.92055,4.76584,-0.063982,19.6479,0.988157
2025-01-17,138.73,118.314,4.93253,4.77334,-0.0683274,20.4168,0.988157
2025-01-21,137.235,118.274,4.9217,4.77301,-0.0579528,18.9611,0.988157
2025-01-22,132.859,116.37,4.88928,4.75677,-0.042156,16.4885,0.988157
2025-01-23,138.396,120.365,4.93012,4.79053,-0.0487509,18.0308,0.988157
2025-01-24,137.334,119.619,4.92241,4.78431,-0.0473546,17.7146,0.988157
2025-01-27,138.986,120.817,4.93437,4.79427,-0.0492111,18.1694,0.988157
2025-01-28,135.858,118.952,4.91161,4.77872,-0.0422775,16.9068,0.988157
2025-01-29,137.186,119.914,4.92134,4.78677,-0.0438335,17.2726,0.988157
2025-01-30,134.281,118.618,4.89993,4.77591,-0.0335457,15.6629,0.988157
2025-01-31,131.881,115.702,4.8819,4.75102,-0.0406125,16.1787,0.988157
2025-02-03,135.034,115.693,4.90553,4.75094,-0.0640457,19.3417,0.988157
2025-02-04,141.787,121.337,4.95433,4.79857,-0.0646312,20.4502,0.988157
2025-02-05,139.358,121.052,4.93704,4.79622,-0.0499021,18.3055,0.988157
2025-02-06,133.16,118.598,4.89155,4.77574,-0.025431,14.5621,0.988157
2025-02-07,131.961,118.088,4.8825,4.77143,-0.0208003,13.8727,0.988157
2025-02-10,135.659,121.435,4.91015,4.79938,-0.0201641,14.224,0.988157
2025-02-11,135.738,127.168,4.91073,4.84551,0.025385,8.57076,0.988157
2025-02-12,129.809,122.741,4.86606,4.81007,0.0340904,7.06813,0.988157
2025-02-13,129.888,123.231,4.86667,4.81406,0.0374774,6.65666,0.988157
2025-02-14,134.172,125.685,4.89912,4.83378,0.0251325,8.48629,0.988157
2025-02-18,137.028,127.884,4.92018,4.85113,0.0216642,9.14324,0.988157
2025-02-19,135.996,127.57,4.91263,4.84867,0.0266698,8.4261,0.988157
2025-02-20,137.97,129.131,4.92703,4.86083,0.0245951,8.83862,0.988157
2025-02-21,133.607,126.412,4.8949,4.83955,0.0350668,7.19469,0.988157
2025-02-24,133.924,125.867,4.89727,4.83523,0.0284042,8.05674,0.988157
2025-02-25,132.536,125.055,4.88685,4.82875,0.0322271,7.4807,0.988157
2025-02-26,129.065,124.243,4.86032,4.82224,0.051932,4.8223,0.988157
2025-02-27,128.54,126.194,4.85624,4.83782,0.0715465,2.34557,0.988157
2025-02-28,129.63,128.452,4.86469,4.85556,0.0809335,1.17807,0.988157
2025-03-03,127.32,123.797,4.8467,4.81864,0.0617909,3.52282,0.988157
2025-03-04,126.537,121.123,4.84053,4.79681,0.046051,5.4137,0.988157
2025-03-05,120.736,118.597,4.7936,4.77573,0.0713496,2.13857,0.988157
2025-03-06,124.94,121.618,4.82783,4.80089,0.0626779,3.32201,0.988157
2025-03-07,125.783,124.976,4.83456,4.82812,0.083268,0.807213,0.988157
2025-03-10,125.733,124.926,4.83416,4.82772,0.0832611,0.807167,0.988157
2025-03-11,121.995,122.371,4.80398,4.80706,0.0924194,0.375755,0.988157
2025-03-12,124.127,122.797,4.8213,4.81053,0.0787744,1.33026,0.988157
2025-03-13,124.742,121.331,4.82625,4.79852,0.0618829,3.41093,0.988157
2025-03-14,128.054,125.52,4.85245,4.83247,0.0699374,2.5332,0.988157
2025-03-17,131.832,127.957,4.88153,4.85169,0.0604311,3.87463,0.988157
2025-03-18,130.919,127.184,4.87458,4.84564,0.0612369,3.73492,0.988157
2025-03-19,132.714,127.769,4.8882,4.85022,0.0523664,4.94532,0.988157
2025-03-20,133.696,127.591,4.89557,4.84883,0.0436876,6.10529,0.988157
2025-03-21,130.404,124.292,4.87064,4.82264,0.0421342,6.11143,0.988157
2025-03-24,130.84,125.263,4.87398,4.83042,0.0466127,5.57707,0.988157
2025-03-25,130.89,124.292,4.87435,4.82264,0.0384592,6.59731,0.988157
2025-03-26,133.388,125.362,4.89327,4.83121,0.0283416,8.02643,0.988157
2025-03-27,132.109,123.53,4.88363,4.81648,0.0231392,8.57961,0.988157
2025-03-28,130.374,120.598,4.87041,4.79246,0.0121856,9.77607,0.988157
2025-03-31,130.959,122.301,4.87488,4.80649,0.0217884,8.65754,0.988157
2025-04-01,132.615,123.163,4.88745,4.81351,0.0163926,9.45181,0.988157
2025-04-02,132.496,122.876,4.88655,4.81118,0.0149449,9.62003,0.988157
2025-04-03,113.329,106.157,4.73029,4.66492,0.0230995,7.17154,0.988157
2025-04-04,103.809,97.8669,4.64256,4.58361,0.0284851,5.94241,0.988157
2025-04-07,105.773,95.6681,4.66129,4.56089,-0.012753,10.1046,0.988157
2025-04-08,104.295,91.9836,4.64723,4.52161,-0.0381272,12.3116,0.988157
2025-04-09,114.925,102.146,4.74428,4.6264,-0.0292428,12.7793,0.988157
2025-04-10,108.093,96.0643,4.68299,4.56502,-0.030063,12.0287,0.988157
2025-04-11,109.769,96.4506,4.69838,4.56903,-0.041252,13.3182,0.988157
2025-04-14,109.402,96.8864,4.69503,4.57354,-0.0334355,12.5155,0.988157
2025-04-15,106.645,95.2917,4.66951,4.55694,-0.0248135,11.3535,0.988157
2025-04-16,106.229,95.6483,4.6656,4.56068,-0.0172121,10.5805,0.988157
2025-04-17,109.134,98.1542,4.69258,4.58654,-0.018014,10.98,0.988157
2025-04-21,107.924,96.0841,4.68143,4.56522,-0.0283145,11.8403,0.988157
2025-04-22,111.514,99.937,4.71415,4.60454,-0.0213298,11.577,0.988157
2025-04-23,113.537,101.799,4.73213,4.623,-0.0206333,11.7378,0.988157
2025-04-24,112.406,103.691,4.72212,4.64141,0.00766719,8.71559,0.988157
2025-04-25,112.912,102.978,4.72661,4.63451,-0.00366974,9.93443,0.988157
2025-04-28,113.785,104.77,4.73431,4.65177,0.00598217,9.0143,0.988157
2025-04-29,114.548,104.988,4.741,4.65385,0.00145123,9.55991,0.988157
2025-04-30,115.113,103.067,4.74592,4.63538,-0.021884,12.0466,0.988157
2025-05-01,113.914,102.473,4.73544,4.62959,-0.0173131,11.4411,0.988157
2025-05-02,117.93,106.127,4.77009,4.66464,-0.0165051,11.8022,0.988157
2025-05-05,118.336,105.88,4.77353,4.6623,-0.0222416,12.4564,0.988157
2025-05-06,116.016,104.384,4.75373,4.64808,-0.0168997,11.6317,0.988157
2025-05-07,115.966,104.543,4.7533,4.64959,-0.0149602,11.4236,0.988157
2025-05-08,120.706,108.148,4.79336,4.6835,-0.0206401,12.5581,0.988157
2025-05-09,121.896,109.861,4.80317,4.69922,-0.0146138,12.0345,0.988157
2025-05-12,129.392,117.547,4.86285,4.76684,-0.00596701,11.845,0.988157
2025-05-13,133.973,124.372,4.89764,4.82327,0.016085,9.60191,0.988157
2025-05-14,133.19,123.51,4.89178,4.81632,0.0149271,9.68027,0.988157
2025-05-15,134.231,123.579,4.89956,4.81688,0.00779392,10.6521,0.988157
2025-05-16,134.598,124.53,4.90229,4.82455,0.0127614,10.0681,0.988157
2025-05-19,133.2,122.18,4.89185,4.8055,0.00402831,11.02,0.988157
2025-05-20,132.21,120.9,4.88439,4.79496,0.00086848,11.31,0.988157
2025-05-21,127.8,111.78,4.85047,4.71653,-0.0440394,16.02,0.988157
2025-05-22,128.72,112.98,4.85764,4.72721,-0.0404492,15.74,0.988157
2025-05-23,128.55,113.13,4.85632,4.72854,-0.0378165,15.42,0.988157
2025-05-27,130.71,114.33,4.87298,4.73909,-0.043731,16.38,0.988157
2025-05-28,126.93,112.77,4.84364,4.72535,-0.0284718,14.16,0.988157
2025-05-29,129.16,114.68,4.86105,4.74215,-0.0288864,14.48,0.988157
2025-05-30,128.97,113.48,4.85958,4.73163,-0.0379507,15.49,0.988157
2025-06-02,128.3,114.28,4.85437,4.73865,-0.0257789,14.02,0.988157
2025-06-03,130.95,115.97,4.87482,4.75333,-0.0313011,14.98,0.988157
2025-06-04,126.54,112.48,4.84056,4.72278,-0.0280058,14.06,0.988157
2025-06-05,126.88,112.23,4.84324,4.72055,-0.0328824,14.65,0.988157
2025-06-06,128.35,114.29,4.85476,4.73874,-0.0260765,14.06,0.988157
2025-06-09,128.26,116.1,4.85406,4.75445,-0.00967043,12.16,0.988157
2025-06-10,131.93,118.7,4.88227,4.7766,-0.0154009,13.23,0.988157
2025-06-11,134.06,120.95,4.89829,4.79538,-0.0124493,13.11,0.988157
2025-06-12,133.5,121.52,4.8941,4.80008,-0.00361133,11.98,0.988157
2025-06-13,134.11,122.15,4.89866,4.80525,-0.00294524,11.96,0.988157
